step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
411,423478,822,0.0175865030274201,1.0,1.0,,,,,
412,424520,824,0.017346407454682817,1.0,1.0,,,,,
413,425546,826,0.017690501200586066,1.0,1.0,,,,,
414,426572,828,0.017692607999600728,1.0,1.0,,,,,
415,427614,830,0.017345658736021473,1.0,1.0,,,,,
416,428640,832,0.01769595929424323,1.0,1.0,,,,,
417,429666,834,0.017631266890513267,1.0,1.0,0.017592474319738417,1.0,1.0,,
418,430708,836,0.017312991616610117,1.0,1.0,,,,,
419,431734,838,0.01834967294910758,0.5,0.5,,,,,
420,432760,840,0.01774610096044579,1.0,1.0,,,,,
421,433802,842,0.017679542418627132,1.0,1.0,,,,,
422,434844,844,0.017572480926786184,1.0,1.0,,,,,
423,435870,846,0.018407757702860673,1.0,1.0,,,,,
424,436896,848,0.01856974218652088,1.0,1.0,,,,,
425,437922,850,0.017822245502619162,1.0,1.0,0.017458110375266945,1.0,1.0,,
426,438948,852,0.018057165113383008,1.0,1.0,,,,,
427,439974,854,0.01771852339967528,1.0,1.0,,,,,
428,441016,856,0.01772134091703725,1.0,1.0,,,,,
429,442042,858,0.017631167238320707,1.0,1.0,,,,,
430,443068,860,0.017630119591738276,1.0,1.0,,,,,
431,444094,862,0.017781554824232552,1.0,1.0,,,,,
432,445136,864,0.017786037497525584,1.0,1.0,,,,,
433,446162,866,0.017609259382801813,1.0,1.0,0.017610377304274533,1.0,1.0,,
434,447204,868,0.01744939068027468,1.0,1.0,,,,,
435,448230,870,0.017825457737504494,1.0,1.0,,,,,
436,449256,872,0.01775997159055612,1.0,1.0,,,,,
437,450298,874,0.017477488882417715,1.0,1.0,,,,,
438,451324,876,0.017806074453736373,1.0,1.0,,,,,
439,452350,878,0.017703907319667495,1.0,1.0,,,,,
440,453376,880,0.017741469712033275,1.0,1.0,,,,,
